version,lucEmis2020,lucEmis2050,lucEmis2100,tau2020,tau2050,tau2100,cropland2020,cropland2050,cropland2100,irrigated2020,irrigated2050,irrigated2100,pasture2020,pasture2050,pasture2100,forest2020,forest2050,forest2100,other2020,other2050,other2100,production2020,production2050,production2100,costs2020,costs2050,costs2100,foodExp2020,foodExp2050,foodExp2100
default_2025-02-08_04.05.26,4064.16,2543.16,3031.59,1.24,1.59,1.9,1575.61,1645.4,2057.9,242.71,381.65,455.49,3329.11,3338.57,3225.97,4080.1,4046.79,3886.94,3936.8,3855.72,3706.16,16578.38,22565.53,28399.22,6797397.55,5221361.02,6983254.49,469.2,545.97,655.39
default_2025-02-01_04.04.42,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2025-01-25_04.04.35,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2025-01-18_04.04.38,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2025-01-11_04.05.09,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2025-01-04_04.04.36,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2024-12-28_04.04.33,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2024-12-21_04.04.38,3736.55,684.39,798.23,1.26,1.64,1.96,1525.73,1578.42,1987.35,238.29,373.1,434.07,3341,3352.71,3242.9,3962.1,3968.3,3872.77,4092.8,3987.06,3773.95,16600,22544.6,28393.93,3753842.37,7020499.69,7045856.27,461.49,547.56,657.43
default_2024-12-14_04.05.29,3678.74,549.56,610.79,1.25,1.63,1.95,1548.9,1600.71,2003,241.14,378.72,464.32,3343.41,3346.33,3241.46,3968.94,3958.93,3856.67,4060.38,3980.52,3775.85,16565.06,22544.98,28440.44,3754355.6,7078232.98,7076616.46,464.42,547.15,658.97
default_2024-12-07_04.04.37,3678.74,549.56,610.79,1.25,1.63,1.95,1548.9,1600.71,2003,241.14,378.72,464.32,3343.41,3346.33,3241.46,3968.94,3958.93,3856.67,4060.38,3980.52,3775.85,16565.06,22544.98,28440.44,3754355.6,7078232.98,7076616.46,464.42,547.15,658.97
default_2024-11-30_04.04.36,3211.57,665.99,680.66,1.26,1.64,1.96,1523.31,1576.2,1986.29,242.05,377.28,451.85,3341.3,3350.23,3237.22,3937.82,3922.22,3821.33,4119.2,4037.84,3832.13,16568.96,22575.51,28466.79,3738212.78,7036143.43,6909046.15,461.74,547.66,658.44
default_2024-11-16_04.05.28,3342.88,800.73,797.58,1.25,1.63,1.96,1541.41,1595.4,2001.41,240.21,378.26,440.89,3340.74,3359.08,3252.99,3946.79,3923.9,3816.61,4092.69,4008.1,3805.95,16559.22,22543.58,28369.8,3707487.67,6931651.58,6879774.79,464.24,547.46,659.86
default_2024-11-09_04.04.39,3626.67,2279.05,2730.07,1.26,1.63,1.98,1526.96,1591.97,1962.58,238.71,373.34,534.96,3341.09,3368.66,3395.88,3947.09,3900.32,3722.79,4106.5,4025.54,3795.72,16541.98,22567.34,28304.12,3700452.3,7008660.91,7079914.82,461.19,546.15,672.86
default_2024-11-02_04.04.37,3581.43,616.34,683.32,1.26,1.63,1.95,1527.33,1582.6,1992.79,242.71,381.5,448.65,3341.63,3358.15,3252.42,3934.66,3920.78,3826.75,4118.01,4024.96,3805.01,16545.26,22518.76,28330.9,3738808.34,7038469.8,6799773.53,460.05,544.48,654.59
